step,wraith_count,serpent_count,ritual_counter
125,1831,3,0
126,1847,3,0
127,1863,3,0
128,1872,3,0
129,1896,3,0
130,1912,4,0
131,1929,4,0
132,1948,4,0
133,1964,4,0
134,1980,4,0
135,1997,4,0
136,2011,4,0
137,2031,4,0
138,2043,4,0
139,2062,4,0
140,2087,4,0
141,2106,4,0
142,2123,4,0
143,2141,4,0
144,2161,4,0
145,2176,4,0
146,2193,4,0
147,2203,4,0
148,2213,4,0
149,2229,4,0
150,2242,4,0
151,2263,4,0
152,2282,4,0
153,2293,4,0
154,2305,4,0
155,2316,4,0
156,2329,4,0
157,2345,4,0
158,2357,4,0
159,2368,4,0
160,2381,4,0
161,2393,4,0
162,2410,4,0
163,2426,4,0
164,2439,4,0
165,2448,4,0
166,2460,4,0
167,2468,4,0
168,2481,4,0
169,2497,4,0
170,2517,4,0
171,2533,4,0
172,2548,4,0
173,2562,4,0
174,2585,4,0
175,2601,4,0
176,2616,4,0
177,2635,4,0
178,2652,4,0
179,2668,4,0
180,2684,4,0
181,2700,4,0
182,2711,4,0
183,2731,4,0
184,2741,4,0
185,2755,5,0
186,2765,5,0
187,2784,5,0
188,2798,5,0
189,2809,5,0
190,2830,5,0
191,2845,5,0
192,2857,6,0
193,2872,6,0
194,2896,6,0
195,2913,6,0
196,2929,6,0
197,2945,6,0
198,2959,6,0
199,2976,6,0
200,2986,6,0
201,2996,6,0
202,3014,6,0
203,3024,6,0
204,3046,6,0
205,3061,6,0
206,3074,6,0
207,3083,6,0
208,3101,6,0
209,3116,6,0
210,3130,6,0
211,3153,6,0
212,3170,6,0
213,3184,6,0
214,3204,6,0
215,3217,6,0
216,3234,6,0
217,3246,6,0
218,3268,6,0
219,3284,6,0
220,3302,6,0
221,3310,6,0
222,3328,6,0
223,3344,6,0
224,3358,6,0
225,3374,6,0
226,3389,6,0
227,3397,6,0
228,3409,6,0
229,3417,6,0
230,3433,6,0
231,3449,6,0
232,3472,6,0
233,3488,6,0
234,3503,6,0
235,3515,6,0
236,3525,6,0
237,3535,6,0
238,3553,6,0
239,3570,6,0
240,3584,6,0
241,3593,6,0
242,3602,6,0
243,3617,6,0
244,3631,6,0
245,3649,6,0
246,3664,6,0
247,3674,6,0
248,3686,6,0
249,3696,6,0
250,3706,6,0
251,3725,6,0
252,3737,6,0
253,3753,6,0
254,3763,6,0
255,3782,6,0
256,3804,6,0
257,3819,6,0
258,3834,6,0
259,3842,6,0
260,3856,6,0
261,3870,6,0
262,3889,6,0
263,3898,6,0
264,3915,6,0
265,3937,6,0
266,3953,6,0
267,3965,6,0
268,3987,6,0
269,4002,6,0
270,4017,6,0
271,4032,6,0
272,4043,7,0
273,4057,7,0
274,4074,7,0
275,4086,7,0
276,4099,7,0
277,4110,7,0
278,4119,7,0
279,4125,7,0
280,4138,7,0
281,4153,7,0
282,4174,7,0
283,4193,7,0
284,4203,7,0
285,4220,7,0
286,4240,7,0
287,4261,7,0
288,4278,7,0
289,4292,7,0
290,4306,7,0
291,4321,7,0
292,4340,7,0
293,4359,7,0
294,4370,7,0
295,4386,7,0
296,4395,7,0
297,4401,7,0
298,4416,7,0
299,4433,7,0
300,4447,7,0
301,4464,7,0
302,4484,7,0
303,4497,7,0
304,4511,7,0
305,4525,7,0
306,4539,7,0
307,4554,7,0
308,4568,7,0
309,4582,7,0
310,4596,7,0
311,4605,7,0
312,4613,7,0
313,4629,7,0
314,4642,7,0
315,4659,7,0
316,4670,7,0
317,4684,7,0
318,4700,7,0
319,4719,7,0
320,4737,7,0
321,4753,7,0
322,4765,7,0
323,4780,7,0
324,4794,7,0
325,4803,7,0
326,4823,7,0
327,4832,7,0
328,4840,7,0
329,4855,7,0
330,4874,7,0
331,4888,7,0
332,4904,7,0
333,4914,7,0
334,4927,7,0
335,4948,7,0
336,4962,7,0
337,4978,7,0
338,4995,7,0
339,5010,7,0
340,5032,7,0
341,5047,7,0
342,5064,7,0
343,5075,7,0
344,5091,7,0
345,5105,7,0
346,5129,7,0
347,5144,8,0
348,5162,8,0
349,5177,8,0
350,5192,8,0
351,5216,8,0
352,5228,8,0
353,5247,8,0
354,5261,8,0
355,5272,8,0
356,5290,8,0
357,5309,8,0
358,5322,8,0
359,5338,8,0
360,5352,8,0
361,5371,8,0
362,5387,8,0
363,5405,8,0
364,5418,8,0
365,5432,8,0
366,5446,8,0
367,5463,8,0
368,5475,8,0
369,5491,8,0
370,5510,8,0
371,5523,8,0
372,5536,8,0
373,5546,8,0
374,5559,8,0
375,5569,8,0
376,5580,8,0
377,5595,8,0
378,5610,8,0
379,5620,8,0
380,5631,8,0
381,5646,9,0
382,5655,9,0
383,5667,9,0
384,5678,9,0
385,5688,9,0
386,5703,9,0
387,5721,9,0
388,5732,9,0
389,5753,9,0
390,5768,9,0
391,5779,9,0
392,5794,9,0
393,5812,9,0
394,5832,9,0
395,5842,9,0
396,5864,9,0
397,5876,9,0
398,5891,9,0
399,5901,9,0
400,5920,9,0
401,5935,9,0
402,5946,9,0
403,5967,9,0
404,5982,9,0
405,5995,9,0
406,6004,9,0
407,6017,9,0
408,6032,9,0
409,6049,9,0
410,6062,9,0
411,6078,9,0
412,6087,9,0
413,6103,9,0
414,6112,9,0
415,6128,9,0
416,6147,9,0
417,6162,9,0
418,6182,9,0
419,6194,9,0
420,6205,9,0
421,6217,9,0
422,6228,9,0
423,6241,9,0
424,6252,9,0
425,6272,9,0
426,6289,9,0
427,6301,9,0
428,6316,9,0
429,6333,9,0
430,6347,9,0
431,6366,9,0
432,6380,9,0
433,6402,9,0
434,6412,9,0
435,6426,9,0
436,6441,9,0
437,6461,9,0
438,6473,9,0
439,6483,9,0
440,6498,9,0
441,6511,9,0
442,6523,9,0
443,6539,9,0
444,6552,9,0
445,6563,9,0
446,6580,9,0
447,6597,10,0
448,6610,10,0
449,6626,10,0
450,6639,10,0
451,6653,10,0
452,6671,10,0
453,6687,11,0
454,6700,11,0
455,6714,11,0
456,6725,11,0
457,6745,11,0
458,6763,11,0
459,6783,11,0
460,6801,11,0
461,6815,11,0
462,6829,11,0
463,6843,11,0
464,6859,11,0
465,6875,11,0
466,6885,11,0
467,6904,11,0
468,6918,11,0
469,6938,11,0
470,6957,11,0
471,6967,11,0
472,6974,11,0
473,6989,11,0
474,7005,11,0
475,7018,11,0
476,7031,11,0
477,7041,11,0
478,7055,11,0
479,7069,11,0
480,7080,11,0
481,7096,11,0
482,7111,11,0
483,7122,11,0
484,7137,11,0
485,7145,11,0
486,7159,11,0
487,7170,11,0
488,7189,11,0
489,7201,11,0
490,7225,11,0
491,7236,11,0
492,7247,11,0
493,7266,11,0
494,7282,11,0
495,7296,11,0
496,7310,11,0
497,7327,11,0
498,7333,11,0
499,7354,11,0
500,6999,11,1
501,7014,11,1
502,7031,11,1
503,7043,11,1
504,7059,11,1
505,7072,11,1
506,7090,11,1
507,7100,11,1
508,7117,11,1
509,7136,12,1
510,7145,12,1
511,7157,12,1
512,7169,12,1
513,7185,12,1
514,7193,12,1
515,7209,12,1
516,7225,13,1
517,7251,13,1
518,7267,13,1
519,7285,14,1
520,7304,14,1
521,7317,14,1
522,7332,14,1
523,7345,14,1
524,7361,14,1
525,7372,14,1
526,7384,14,1
527,7398,14,1
528,7414,14,1
529,7430,14,1
530,7456,14,1
531,7470,14,1
532,7483,14,1
533,7488,14,1
534,7500,14,1
535,7513,14,1
536,7525,14,1
537,7536,14,1
538,7555,14,1
539,7570,14,1
540,7583,14,1
541,7594,14,1
542,7607,14,1
543,7620,14,1
544,7641,14,1
545,7658,14,1
546,7680,14,1
547,7692,14,1
548,7704,14,1
549,7719,14,1
550,7737,14,1
551,7757,14,1
552,7773,14,1
553,7785,14,1
554,7800,14,1
555,7822,14,1
556,7834,14,1
557,7844,14,1
558,7857,14,1
559,7869,14,1
560,7878,14,1
561,7886,14,1
562,7902,14,1
563,7913,14,1
564,7922,14,1
565,7932,14,1
566,7948,14,1
567,7968,14,1
568,7983,14,1
569,7999,14,1
570,8009,14,1
571,8033,14,1
572,8040,14,1
573,8055,14,1
574,8066,14,1
575,8075,14,1
576,8091,14,1
577,8109,14,1
578,8127,14,1
579,8136,14,1
580,8149,14,1
581,8166,14,1
582,8175,14,1
583,8187,14,1
584,8203,14,1
585,8215,14,1
586,8227,14,1
587,8247,14,1
588,8256,14,1
589,8276,14,1
590,8287,14,1
591,8304,14,1
592,8317,14,1
593,8331,14,1
594,8350,14,1
595,8366,14,1
596,8384,14,1
597,8396,14,1
598,8411,14,1
599,8432,14,1
600,8446,14,1
601,8457,15,1
602,8469,15,1
603,8478,15,1
604,8490,15,1
605,8507,15,1
606,8525,15,1
607,8537,15,1
608,8553,15,1
609,8569,15,1
610,8586,15,1
611,8601,15,1
612,8612,15,1
613,8626,15,1
614,8636,15,1
615,8647,15,1
616,8658,15,1
617,8676,15,1
618,8693,15,1
619,8704,15,1
620,8717,15,1
621,8736,15,1
622,8750,16,1
623,8768,16,1
624,8788,16,1
625,8806,16,1
626,8822,16,1
627,8832,16,1
628,8848,16,1
629,8859,16,1
630,8877,16,1
631,8891,16,1
632,8907,16,1
633,8917,16,1
634,8926,16,1
635,8940,16,1
636,8954,16,1
637,8972,16,1
638,8986,17,1
639,8991,17,1
640,9003,17,1
641,9024,17,1
642,9038,17,1
643,9054,17,1
644,9068,17,1
645,9079,17,1
646,9094,17,1
647,9101,17,1
648,9117,17,1
649,9131,17,1
650,9144,17,1
651,9161,17,1
652,9179,17,1
653,9191,17,1
654,9203,17,1
655,9224,17,1
656,9246,17,1
657,9261,17,1
658,9286,17,1
659,9297,17,1
660,9314,17,1
661,9330,17,1
662,9339,17,1
663,9352,17,1
664,9363,17,1
665,9379,17,1
666,9392,17,1
667,9403,17,1
668,9419,17,1
669,9431,17,1
670,9451,17,1
671,9471,17,1
672,9485,18,1
673,9502,18,1
674,9522,18,1
675,9536,18,1
676,9554,18,1
677,9568,18,1
678,9582,18,1
679,9594,18,1
680,9609,18,1
681,9631,18,1
682,9647,18,1
683,9660,18,1
684,9681,18,1
685,9698,18,1
686,9706,18,1
687,9719,18,1
688,9732,18,1
689,9744,18,1
690,9755,18,1
691,9778,18,1
692,9795,18,1
693,9808,18,1
694,9819,18,1
695,9836,18,1
696,9853,18,1
697,9870,18,1
698,9886,18,1
699,9896,18,1
700,9910,18,1
701,9926,18,1
702,9945,18,1
703,9954,18,1
704,9965,18,1
705,9981,18,1
706,9989,18,1
707,10002,18,1
708,10012,18,1
709,10028,18,1
710,10038,18,1
711,10057,18,1
712,10073,18,1
713,10082,18,1
714,10095,18,1
715,10115,18,1
716,10125,18,1
717,10136,18,1
718,10147,18,1
719,10158,18,1
720,10174,18,1
721,10183,18,1
722,10200,18,1
723,10213,18,1
724,10226,18,1
725,10240,18,1
726,10253,18,1
727,10274,18,1
728,10289,18,1
729,10306,18,1
730,10321,18,1
731,10341,18,1
732,10352,18,1
733,10363,18,1
734,10373,18,1
735,10388,18,1
736,10397,18,1
737,10409,18,1
738,10411,18,1
739,10430,18,1
740,10438,18,1
741,10455,18,1
742,10473,18,1
743,10483,18,1
744,10500,18,1
745,10519,18,1
746,10534,18,1
747,10548,18,1
748,10563,18,1
749,10582,18,1
750,10597,18,1
751,10611,18,1
752,10624,18,1
753,10645,18,1
754,10662,18,1
755,10676,18,1
756,10686,18,1
757,10703,19,1
758,10711,19,1
759,10724,19,1
760,10737,19,1
761,10759,19,1
762,10777,19,1
763,10786,19,1
764,10794,19,1
765,10814,19,1
766,10829,19,1
767,10844,19,1
768,10861,19,1
769,10875,19,1
770,10892,19,1
771,10909,19,1
772,10922,19,1
773,10940,19,1
774,10952,19,1
775,10969,19,1
776,10983,19,1
777,10992,19,1
778,11008,19,1
779,11035,19,1
780,11049,19,1
781,11064,20,1
782,11076,20,1
783,11085,21,1
784,11100,21,1
785,11114,21,1
786,11128,21,1
787,11146,21,1
788,11157,21,1
789,11178,21,1
790,11195,21,1
791,11212,21,1
792,11223,21,1
793,11243,21,1
794,11259,21,1
795,11275,21,1
796,11291,21,1
797,11305,21,1
798,11318,21,1
799,11328,21,1
800,11340,21,1
801,11350,21,1
802,11363,21,1
803,11377,21,1
804,11400,22,1
805,11412,22,1
806,11428,22,1
807,11440,22,1
808,11454,22,1
809,11466,22,1
810,11485,22,1
811,11503,22,1
812,11520,22,1
813,11538,22,1
814,11558,22,1
815,11577,22,1
816,11591,22,1
817,11617,22,1
818,11632,22,1
819,11645,22,1
820,11663,22,1
821,11682,22,1
822,11699,22,1
823,11710,22,1
824,11728,22,1
825,11741,22,1
826,11757,22,1
827,11771,22,1
828,11782,22,1
829,11797,22,1
830,11820,22,1
831,11831,22,1
832,11840,22,1
833,11855,22,1
834,11875,22,1
835,11882,22,1
836,11892,22,1
837,11909,22,1
838,11925,22,1
839,11938,22,1
840,11960,22,1
841,11972,22,1
842,11983,22,1
843,11994,22,1
844,12005,22,1
845,12016,22,1
846,12028,22,1
847,12045,22,1
848,12067,22,1
849,12074,22,1
850,12092,22,1
851,12108,22,1
852,12122,22,1
853,12133,22,1
854,12143,22,1
855,12159,22,1
856,12169,22,1
857,12181,22,1
858,12198,22,1
859,12211,22,1
860,12234,22,1
861,12250,22,1
862,12269,22,1
863,12282,22,1
864,12298,22,1
865,12315,22,1
866,12329,22,1
867,12343,22,1
868,12362,22,1
869,12376,22,1
870,12395,22,1
871,12407,22,1
872,12431,22,1
873,12449,22,1
874,12458,22,1
875,12473,22,1
876,12483,22,1
877,12495,22,1
878,12504,22,1
879,12518,22,1
880,12534,22,1
881,12552,22,1
882,12568,22,1
883,12581,22,1
884,12596,22,1
885,12607,22,1
886,12621,22,1
887,12641,22,1
888,12645,22,1
889,12656,22,1
890,12679,22,1
891,12693,22,1
892,12706,22,1
893,12716,22,1
894,12740,22,1
895,12755,22,1
896,12763,22,1
897,12777,22,1
898,12790,22,1
899,12802,22,1
900,12815,22,1
901,12828,22,1
902,12844,22,1
903,12860,22,1
904,12876,22,1
905,12892,22,1
906,12900,22,1
907,12913,22,1
908,12925,22,1
909,12943,22,1
910,12961,22,1
911,12976,22,1
912,12998,22,1
913,13007,22,1
914,13022,22,1
915,13036,22,1
916,13057,22,1
917,13072,22,1
918,13091,22,1
919,13107,22,1
920,13125,22,1
921,13139,22,1
922,13152,22,1
923,13169,22,1
924,13187,22,1
925,13200,22,1
926,13218,22,1
927,13230,22,1
928,13251,23,1
929,13263,23,1
930,13274,23,1
931,13293,23,1
932,13306,23,1
933,13326,23,1
934,13341,23,1
935,13355,23,1
936,13374,23,1
937,13385,23,1
938,13397,23,1
939,13414,23,1
940,13430,23,1
941,13451,23,1
942,13475,23,1
943,13484,23,1
944,13498,23,1
945,13516,23,1
946,13530,23,1
947,13536,23,1
948,13548,23,1
949,13563,23,1
950,13580,23,1
951,13592,23,1
952,13611,23,1
953,13624,23,1
954,13633,23,1
955,13648,23,1
956,13666,23,1
957,13675,23,1
958,13692,23,1
959,13702,23,1
960,13715,23,1
961,13738,24,1
962,13753,24,1
963,13773,24,1
964,13788,24,1
965,13802,24,1
966,13817,24,1
967,13837,24,1
968,13851,24,1
969,13864,24,1
970,13877,24,1
971,13895,24,1
972,13915,24,1
973,13929,24,1
974,13943,24,1
975,13951,24,1
976,13967,24,1
977,13979,24,1
978,13994,24,1
979,14008,24,1
980,14017,24,1
981,14032,24,1
982,14041,24,1
983,14052,24,1
984,14060,24,1
985,14079,24,1
986,14091,24,1
987,14106,24,1
988,14116,24,1
989,14133,24,1
990,14147,24,1
991,14157,24,1
992,14168,24,1
993,14181,24,1
994,14198,24,1
995,14210,24,1
996,14236,24,1
997,14251,24,1
998,14263,24,1
999,14279,24,1
1000,13585,24,2
1001,13598,24,2
1002,13620,24,2
1003,13633,24,2
1004,13649,24,2
1005,13660,24,2
1006,13677,24,2
1007,13688,24,2
1008,13705,25,2
1009,13716,25,2
1010,13732,25,2
1011,13750,25,2
1012,13765,25,2
1013,13779,25,2
1014,13794,25,2
1015,13801,25,2
1016,13821,25,2
1017,13837,25,2
1018,13852,25,2
1019,13864,25,2
1020,13881,25,2
1021,13896,25,2
1022,13909,25,2
1023,13923,25,2
1024,13939,25,2
1025,13954,25,2
1026,13971,25,2
1027,13984,25,2
1028,13996,25,2
1029,14010,25,2
1030,14024,25,2
1031,14032,25,2
1032,14053,25,2
1033,14066,25,2
1034,14077,25,2
1035,14088,25,2
1036,14109,25,2
1037,14127,25,2
1038,14134,25,2
1039,14151,25,2
1040,14162,25,2
1041,14171,25,2
1042,14189,26,2
1043,14203,26,2
1044,14214,26,2
1045,14226,26,2
1046,14240,26,2
1047,14259,26,2
1048,14273,26,2
1049,14289,26,2
1050,14303,26,2
1051,14315,26,2
1052,14331,26,2
1053,14353,26,2
1054,14369,26,2
1055,14385,26,2
1056,14405,26,2
1057,14420,26,2
1058,14436,26,2
1059,14448,26,2
1060,14465,26,2
1061,14483,26,2
1062,14499,26,2
1063,14518,26,2
1064,14537,26,2
1065,14555,26,2
1066,14567,26,2
1067,14580,26,2
1068,14596,26,2
1069,14611,26,2
1070,14623,26,2
1071,14634,26,2
1072,14651,26,2
1073,14665,26,2
1074,14679,26,2
1075,14699,26,2
1076,14716,26,2
1077,14724,26,2
1078,14738,26,2
1079,14751,26,2
1080,14764,26,2
1081,14777,26,2
1082,14800,26,2
1083,14815,26,2
1084,14834,26,2
1085,14847,26,2
1086,14866,26,2
1087,14882,26,2
1088,14894,26,2
1089,14909,26,2
1090,14918,26,2
1091,14931,26,2
1092,14940,26,2
1093,14957,26,2
1094,14975,26,2
1095,14994,26,2
1096,15012,26,2
1097,15024,26,2
1098,15051,26,2
1099,15068,26,2
1100,15086,26,2
1101,15108,26,2
1102,15119,26,2
1103,15132,26,2
1104,15149,26,2
1105,15162,26,2
1106,15178,26,2
1107,15192,26,2
1108,15205,26,2
1109,15221,26,2
1110,15231,26,2
1111,15245,26,2
1112,15262,26,2
1113,15270,26,2
1114,15289,26,2
1115,15305,26,2
1116,15320,26,2
1117,15335,26,2
1118,15363,26,2
1119,15372,26,2
1120,15387,26,2
1121,15403,26,2
1122,15422,26,2
1123,15437,26,2
1124,15445,26,2
1125,15455,26,2
1126,15470,26,2
1127,15479,26,2
1128,15496,26,2
1129,15516,26,2
1130,15534,26,2
1131,15550,26,2
1132,15564,26,2
1133,15575,26,2
1134,15588,26,2
1135,15607,26,2
1136,15621,26,2
1137,15632,26,2
1138,15648,26,2
1139,15663,26,2
1140,15678,26,2
1141,15694,26,2
1142,15706,26,2
1143,15729,26,2
1144,15740,26,2
1145,15756,26,2
1146,15767,26,2
1147,15786,26,2
1148,15798,26,2
1149,15811,26,2
1150,15826,27,2
1151,15847,27,2
1152,15864,27,2
1153,15874,27,2
1154,15889,27,2
1155,15909,27,2
1156,15930,27,2
1157,15941,27,2
1158,15960,27,2
1159,15969,27,2
1160,15981,27,2
1161,15995,27,2
1162,16009,27,2
1163,16020,27,2
1164,16033,27,2
1165,16043,27,2
1166,16057,27,2
1167,16079,27,2
1168,16098,27,2
1169,16101,27,2
1170,16112,27,2
1171,16124,27,2
1172,16131,27,2
1173,16148,27,2
1174,16164,27,2
1175,16182,27,2
1176,16196,27,2
1177,16214,27,2
1178,16228,28,2
1179,16245,28,2
1180,16256,28,2
1181,16271,28,2
1182,16285,28,2
1183,16295,28,2
1184,16315,28,2
1185,16334,28,2
1186,16345,28,2
1187,16356,28,2
1188,16372,28,2
1189,16387,28,2
1190,16400,28,2
1191,16424,28,2
1192,16438,28,2
1193,16461,28,2
1194,16479,28,2
1195,16495,28,2
1196,16507,28,2
1197,16516,28,2
1198,16533,28,2
1199,16548,28,2
1200,16559,28,2
1201,16570,28,2
1202,16586,28,2
1203,16595,28,2
1204,16608,28,2
1205,16629,28,2
1206,16644,28,2
1207,16662,28,2
1208,16677,28,2
1209,16691,28,2
1210,16703,28,2
1211,16723,28,2
1212,16738,28,2
1213,16746,28,2
1214,16758,28,2
1215,16774,28,2
1216,16787,28,2
1217,16799,28,2
1218,16814,28,2
1219,16824,28,2
1220,16834,28,2
1221,16847,28,2
1222,16863,28,2
1223,16870,28,2
1224,16884,28,2
1225,16894,28,2
1226,16906,28,2
1227,16924,28,2
1228,16937,28,2
1229,16957,29,2
1230,16966,29,2
1231,16980,29,2
1232,16996,29,2
1233,17016,29,2
1234,17040,29,2
1235,17050,29,2
1236,17061,30,2
1237,17076,30,2
1238,17087,30,2
1239,17105,30,2
1240,17114,30,2
1241,17130,30,2
1242,17144,30,2
1243,17159,30,2
1244,17182,30,2
1245,17190,30,2
1246,17196,30,2
1247,17207,30,2
1248,17224,30,2
1249,17237,30,2
1250,17244,30,2
1251,17267,30,2
1252,17284,30,2
1253,17300,30,2
1254,17308,30,2
1255,17323,30,2
1256,17336,30,2
1257,17357,30,2
1258,17368,30,2
1259,17385,30,2
1260,17398,30,2
1261,17411,30,2
1262,17429,30,2
1263,17447,30,2
1264,17452,30,2
1265,17470,30,2
1266,17490,30,2
1267,17503,30,2
1268,17516,30,2
1269,17531,30,2
1270,17553,30,2
1271,17565,30,2
1272,17578,30,2
1273,17595,30,2
1274,17617,30,2
1275,17639,30,2
1276,17655,30,2
1277,17678,30,2
1278,17690,30,2
1279,17701,30,2
1280,17718,30,2
1281,17731,30,2
1282,17745,30,2
1283,17761,30,2
1284,17777,30,2
1285,17795,30,2
1286,17804,30,2
1287,17821,30,2
1288,17832,30,2
1289,17841,30,2
1290,17848,30,2
1291,17865,30,2
1292,17879,30,2
1293,17895,30,2
1294,17919,30,2
1295,17939,30,2
1296,17955,30,2
1297,17964,30,2
1298,17980,30,2
1299,17993,30,2
1300,18009,30,2
1301,18026,30,2
1302,18044,30,2
1303,18056,30,2
1304,18067,30,2
1305,18075,30,2
1306,18097,30,2
1307,18115,30,2
1308,18137,30,2
1309,18154,31,2
1310,18171,31,2
1311,18180,31,2
1312,18188,31,2
1313,18198,31,2
1314,18209,31,2
1315,18218,31,2
1316,18235,31,2
1317,18246,31,2
1318,18267,31,2
1319,18279,31,2
1320,18298,31,2
1321,18313,31,2
1322,18326,31,2
1323,18337,31,2
1324,18354,31,2
1325,18377,31,2
1326,18392,31,2
1327,18411,31,2
1328,18424,31,2
1329,18438,31,2
1330,18457,31,2
1331,18470,31,2
1332,18478,31,2
1333,18492,31,2
1334,18506,32,2
1335,18523,32,2
1336,18538,32,2
1337,18554,32,2
1338,18566,32,2
1339,18578,32,2
1340,18592,32,2
1341,18606,32,2
1342,18622,32,2
1343,18635,32,2
1344,18649,32,2
1345,18661,32,2
1346,18676,32,2
1347,18685,32,2
1348,18700,32,2
1349,18707,32,2
1350,18727,32,2
1351,18753,32,2
1352,18770,32,2
1353,18785,32,2
1354,18799,32,2
1355,18809,32,2
1356,18829,32,2
1357,18845,32,2
1358,18863,32,2
1359,18883,32,2
1360,18902,32,2
1361,18915,32,2
1362,18936,32,2
1363,18952,32,2
1364,18974,32,2
1365,18988,32,2
1366,19005,32,2
1367,19013,32,2
1368,19026,32,2
1369,19037,32,2
1370,19046,32,2
1371,19062,32,2
1372,19082,32,2
1373,19099,32,2
1374,19114,32,2
1375,19127,32,2
1376,19141,32,2
1377,19162,32,2
1378,19172,32,2
1379,19183,32,2
1380,19196,32,2
1381,19216,32,2
1382,19225,32,2
1383,19233,32,2
1384,19250,32,2
1385,19264,32,2
1386,19280,32,2
1387,19293,32,2
1388,19308,32,2
1389,19328,32,2
1390,19341,32,2
1391,19358,32,2
1392,19377,32,2
1393,19389,32,2
1394,19407,32,2
1395,19419,32,2
1396,19434,32,2
1397,19444,32,2
1398,19462,32,2
1399,19475,32,2
1400,19488,32,2
1401,19504,32,2
1402,19518,32,2
1403,19530,32,2
1404,19543,32,2
1405,19560,32,2
1406,19576,32,2
1407,19585,32,2
1408,19606,32,2
1409,19619,32,2
1410,19636,32,2
1411,19648,32,2
1412,19663,32,2
1413,19676,32,2
1414,19693,32,2
1415,19710,32,2
1416,19725,32,2
1417,19739,32,2
1418,19750,32,2
1419,19763,32,2
1420,19776,32,2
1421,19796,32,2
1422,19816,32,2
1423,19830,32,2
1424,19844,33,2
1425,19860,33,2
1426,19876,33,2
1427,19890,33,2
1428,19902,33,2
1429,19922,33,2
1430,19937,33,2
1431,19951,33,2
1432,19965,33,2
1433,19981,33,2
1434,19993,33,2
1435,20010,33,2
1436,20027,33,2
1437,20038,33,2
1438,20049,33,2
1439,20061,33,2
1440,20068,33,2
1441,20080,33,2
1442,20096,33,2
1443,20108,33,2
1444,20124,33,2
1445,20143,33,2
1446,20156,33,2
1447,20172,33,2
1448,20193,33,2
1449,20201,33,2
1450,20216,33,2
1451,20230,33,2
1452,20257,33,2
1453,20266,33,2
1454,20278,33,2
1455,20294,33,2
1456,20308,33,2
1457,20329,33,2
1458,20345,33,2
1459,20357,33,2
1460,20375,33,2
1461,20385,33,2
1462,20395,34,2
1463,20409,34,2
1464,20417,34,2
1465,20437,34,2
1466,20461,34,2
1467,20475,34,2
1468,20489,34,2
1469,20504,34,2
1470,20521,34,2
1471,20537,34,2
1472,20552,34,2
1473,20569,34,2
1474,20584,34,2
1475,20596,34,2
1476,20611,34,2
1477,20627,34,2
1478,20645,34,2
1479,20657,34,2
1480,20670,34,2
1481,20681,34,2
1482,20703,34,2
1483,20718,34,2
1484,20738,34,2
1485,20756,34,2
1486,20771,34,2
1487,20780,34,2
1488,20793,34,2
1489,20805,34,2
1490,20822,34,2
1491,20837,34,2
1492,20849,34,2
1493,20871,34,2
1494,20880,34,2
1495,20898,34,2
1496,20924,34,2
1497,20935,34,2
1498,20949,34,2
1499,20967,34,2
1500,19932,34,3
1501,19953,34,3
1502,19971,34,3
