tick,x
0,0.09944981032431324
1,0.17261231657342088
2,0.10082888352288565
3,0.015422946496846668
4,0.03754282632818229
5,0.09147856642333017
6,0.028602047281702292
7,-0.08044366690284847
8,-0.09565431930419002
9,0.020428492363680606
10,0.08339594934508231
11,0.07484389486324516
12,0.18606614092448623
13,0.13879483438581855
14,0.04601832747366576
15,0.07415791282742573
16,0.03660485929152427
17,0.08005069642375252
18,-0.013233854988693783
19,0.01179708421656129
20,0.13329087059856298
21,0.16940266623882752
22,0.20958366174575815
23,0.33185568264985144
24,0.316412375481409
25,0.3156898200723149
26,0.4198034603465295
27,0.40267648372528586
28,0.3970429719422513
29,0.2593809572206961
30,0.37529058959244693
31,0.27583742770060565
32,0.12694676525373985
33,0.05673166837855288
34,-0.14216377412498538
35,-0.2697418991116888
36,-0.27673804466058655
37,-0.17307724717984652
38,-0.19371002641512336
39,-0.17280299054389814
40,-0.1974134544624255
41,-0.3350000253124249
42,-0.367912199447722
43,-0.40138671879309445
44,-0.3057802087550526
45,-0.3052235121664741
46,-0.3881717330805339
47,-0.2349384258852141
48,-0.1436622268555432
49,-0.2264375648305832
50,-0.14108445878732173
51,-0.292212877446993
52,-0.26537626009518717
53,-0.2435825016997511
54,-0.13171074019016288
55,-0.2507145461941482
56,-0.22750142185671043
57,-0.18214355728740403
58,-0.22304415445688922
59,-0.17952601820227998
60,-0.005857998055264685
61,-0.055436051062022915
62,-0.20308052832017767
63,-0.1719023773783459
64,-0.14598804070071164
65,-0.21642382462513182
66,-0.21544330318245095
67,-0.2513667098750245
68,-0.29222570087910904
69,-0.29044241549820515
70,-0.15834152928551018
71,-0.24474420899611815
72,-0.19641876343159886
73,-0.20779876119453816
74,-0.15487309702367785
75,-0.058663155955364324
76,0.010251033236681487
77,0.02768748137026081
78,0.0999150022200567
79,0.043264652929133625
80,0.10657095823042631
81,0.08802091382796082
82,0.029268888504060064
83,-0.11638988091582138
84,-0.2621959043643472
85,-0.30499269222705855
86,-0.33326922993517843
87,-0.3089738419207539
88,-0.34273096006569587
89,-0.3025496483460988
90,-0.33385777306847825
91,-0.3254107928321869
92,-0.2657459603592863
93,-0.2845866521469063
94,-0.2752460421399802
95,-0.17398480705130875
96,-0.11378714916655899
97,0.02083606142190919
98,0.03243938871252035
99,-0.04510580189199082
100,-0.02963400495384749
101,0.040325705637114115
102,0.1590235072736226
103,0.05146631763371361
104,-0.09725763679285973
105,0.009623182650468937
106,-0.034099828902587254
107,0.023973780338922515
108,0.14734436158141923
109,0.23768244968772584
110,0.226624409754841
111,0.053905049303262925
112,0.0888794518305486
113,0.14132319483826178
114,0.08496211710880108
115,0.17981726729712794
116,0.32180848483583174
117,0.33306152463150374
118,0.44066785682102405
119,0.4038739814004261
120,0.47200429741993233
121,0.5141904097902563
122,0.4878407594629816
123,0.5300858785335172
124,0.5926399311323813
125,0.6722039466197457
126,0.7079816631904682
127,0.7458888687160088
128,0.9327522619666075
129,1.0082411050767641
130,0.9221580577700286
131,0.9418325950729693
132,0.9953036728231417
133,0.8503398823015813
134,0.9793519809477957
135,0.9281658085577973
136,1.0084316288585657
137,1.0014346132552252
138,1.081802521373983
139,1.0510678378859728
140,1.0480911155544084
141,1.005629000430013
142,1.0406590618711062
143,0.9568597736634569
144,0.9149970105936089
145,1.135083250169354
146,1.1469224305182217
147,1.290601907863709
148,1.310783761329823
149,1.3627903331783184
150,1.4136581698405077
151,1.328392243883499
152,1.1284040787693346
153,1.1362959049749686
154,1.1512339705960501
155,1.071135743031127
156,0.9069431706677691
157,1.0442740929131764
158,1.0926996561485547
159,1.2225598565577638
160,1.2442274760410241
161,1.330655245540286
162,1.3800679413085013
163,1.3317538155393895
164,1.3464539019157056
165,1.4041754874150285
166,1.5146328170074006
167,1.573400596927451
168,1.5493824549730344
169,1.604217025699765
170,1.54134187511496
171,1.4260967586444233
172,1.3923519274740956
173,1.261959191810883
174,1.2485938427781849
175,1.3931166389966938
176,1.4733237636851588
177,1.3337953581564943
178,1.3371806923011664
179,1.437284356259133
180,1.4113198107031824
181,1.278400368280252
182,1.4047543678699361
183,1.4065172762363813
184,1.3379180280763463
185,1.1582137619831052
186,1.2415433377785874
187,1.150982283847175
188,1.3033259401845336
189,1.3600116821276764
190,1.4437059866883788
191,1.6346801642112188
192,1.5239804344302812
193,1.419229742376918
194,1.5107933575098969
195,1.3981479982170208
196,1.3439694638010202
197,1.1902481020159272
198,1.1443248570367914
199,0.9411358622923486
200,0.9745561793850277
201,0.8930115355788417
202,0.7700318324790715
203,0.7891151036762982
204,0.6978067199063834
205,0.7650281634324559
206,0.6769906958824393
207,0.787479608082882
208,0.8010861561854435
209,0.865002406739306
210,0.7732694497266799
211,0.8497512726273502
212,0.9095092900521319
213,0.9298858147984859
214,0.9704405082971461
215,0.9337105605421487
216,0.9776772273555002
217,0.923936147014878
218,0.9392716432997781
219,0.8910690548363811
220,0.9946237515972739
221,1.0744990240448784
222,1.1753218813844677
223,1.1666717959323887
224,1.1199809967709045
225,1.2032786198352503
226,1.2716724242978044
227,1.2053590348879748
228,1.2690155501161497
229,1.0588116536015182
230,1.0962112863068874
231,1.130628435296133
232,1.1968296807095553
233,1.1646633824881902
234,1.2461892900990197
235,1.218248627789753
236,1.2235765481398158
